Time (sec),Ti575 Flash Thickness,Ti64 Flash Thickness,,Time (sec),Oscillation stroke 
,,,,0.221,0.002831
,,,,0.222,0.00033
,,,,0.223,-0.0133
,,,,0.224,-0.00051
,,,,0.225,-0.00048
,,,,0.226,-0.00451
,,,,0.227,0.0000235
,,,,0.228,-0.00099
,,,,0.229,0.014913
,,,,0.23,-0.00142
,,,,0.231,-0.00515
,,,,0.232,-0.00067
,,,,0.233,0.003492
,,,,0.234,-0.00428
,,,,0.235,-0.01152
,,,,0.236,0.001534
,,,,0.237,0.000287
,,,,0.238,0.001485
,,,,0.239,-0.0018
,,,,0.24,-0.00154
,,,,0.241,0.001196
,,,,0.242,-0.00215
,,,,0.243,-0.00349
,,,,0.244,0.000854
,,,,0.245,0.006066
,,,,0.246,0.006676
,,,,0.247,-0.00365
,,,,0.248,0.002045
,,,,0.249,0.005606
,,,,0.25,-0.01147
,,,,0.251,0.000356
,,,,0.252,0.004844
,,,,0.253,0.00935
,,,,0.254,-0.00144
,,,,0.255,0.008498
,,,,0.256,0.008528
,,,,0.257,0.00555
,,,,0.258,-0.00458
,,,,0.259,0.006773
,,,,0.26,0.003268
,,,,0.261,-0.00613
,,,,0.262,-0.00351
,,,,0.263,0.004801
,,,,0.264,-0.00072
,,,,0.265,0.003635
,,,,0.266,-0.00918
,,,,0.267,-0.00271
,,,,0.268,-0.00154
,,,,0.269,-0.00062
,,,,0.27,-0.00681
,,,,0.271,0.00461
,,,,0.272,0.014807
,,,,0.273,-0.00174
,,,,0.274,-0.00702
,,,,0.275,0.00188
,,,,0.276,0.004082
,,,,0.277,-0.00716
,,,,0.278,-0.00411
,,,,0.279,0.00109
,,,,0.28,0.006714
,,,,0.281,0.001268
,,,,0.282,0.000855
,,,,0.283,0.000112
,,,,0.284,0.001191
,,,,0.285,-0.00835
,,,,0.286,-0.00481
,,,,0.287,0.008972
,,,,0.288,0.002434
,,,,0.289,-0.00668
,,,,0.29,0.002212
,,,,0.291,0.003058
,,,,0.292,-0.00529
,,,,0.293,-0.00848
,,,,0.294,0.000595
,,,,0.295,0.00699
,,,,0.296,-0.00178
,,,,0.297,-0.00068
,,,,0.298,0.003718
,,,,0.299,0.006571
,,,,0.3,0.010322
,,,,0.301,-0.00264
,,,,0.302,-0.00462
,,,,0.303,-0.00243
,,,,0.304,-0.0006
,,,,0.305,-0.00605
,,,,0.306,0.003053
,,,,0.307,0.005727
,,,,0.308,-0.00848
,,,,0.309,-0.00357
,,,,0.31,0.005558
,,,,0.311,0.013685
,,,,0.312,-0.00389
,,,,0.313,-0.00456
,,,,0.314,-0.00184
,,,,0.315,0.001297
,,,,0.316,-0.00666
,,,,0.317,-0.00094
,,,,0.318,0.0000595
,,,,0.319,0.003626
,,,,0.32,-0.00258
,,,,0.321,-0.00309
,,,,0.322,0.009467
,,,,0.323,0.000532
,,,,0.324,-0.00017
,,,,0.325,0.002568
,,,,0.326,0.008972
,,,,0.327,0.011901
,,,,0.328,-0.00332
,,,,0.329,0.000334
,,,,0.33,0.008065
,,,,0.331,-0.00305
,,,,0.332,-0.000062
,,,,0.333,0.000356
,,,,0.334,0.00506
,,,,0.335,0.001255
,,,,0.336,-0.001
,,,,0.337,0.000668
,,,,0.338,0.012336
,,,,0.339,-0.00594
,,,,0.34,-0.00038
,,,,0.341,0.001756
,,,,0.342,-0.00029
,,,,0.343,-0.00781
,,,,0.344,0.001392
,,,,0.345,0.01429
,,,,0.346,0.00437
,,,,0.347,-0.00471
,,,,0.348,0.004607
,,,,0.349,0.005541
,,,,0.35,0.009151
,,,,0.351,-0.0013
,,,,0.352,0.002258
,,,,0.353,0.00502
,,,,0.354,0.00469
,,,,0.355,0.007673
,,,,0.356,-0.00317
,,,,0.357,0.01351
,,,,0.358,0.010107
,,,,0.359,-0.00678
,,,,0.36,-0.0018
,,,,0.361,0.000737
