CP015L 600°C 575CWZ,,,CP021L 500°C 575CWZ,,,CP015R 600°C 64CWZ,,,CP021R 600°C 64CWZ,,,CP016L 600°C Ti575,,,CP022L 600°C Ti575,,,CP016R 600°C Ti64,,,CP022R 600°C Ti64,
DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN
16.92189775,#DIV/0!,,23.71056017,0.0001734,,24.07458257,0.000148261,,35.38714845,0.000473679,,22.91299389,0.000131537,,,,,26.13607747,0.000154623,,46.02507411,0.00063347
17.15522033,8.91E-05,,24.08420078,0.000200759,,24.59380546,0.000169915,,35.95307831,0.000509802,,23.38788034,0.000141917,,,,,26.65236246,0.000167687,,46.70990623,0.00060832
17.39373689,#DIV/0!,,24.4592333,0.000198313,,25.12064868,0.000159397,,36.52139404,0.000501354,,23.87226424,0.000150708,,,,,27.17550314,0.000189271,,47.39718022,0.000647897
17.61949714,,,24.83570951,0.00020951,,25.65545399,0.000186374,,37.09217402,0.000554342,,24.36676949,0.00015282,,,,,27.70579874,0.000166712,,48.08696942,0.000639711
18.08263948,0.000109595,,25.2136795,0.000235891,,26.1985948,0.000188434,,37.66549496,0.000566701,,24.87207874,0.000178707,,,,,28.24357484,0.000173315,,48.77934888,0.000650401
18.56032839,0.000113813,,25.59319246,0.000242757,,26.75047935,0.000202328,,38.24143313,0.000575339,,25.38893857,0.000182512,,,,,28.78918578,0.000204935,,49.47439653,0.000756447
19.05387592,0.00013763,,25.9742975,0.000259943,,27.31155395,0.000219179,,38.82006552,0.000624283,,25.91816517,0.000206757,,,,,29.34301711,0.000195522,,50.17219426,0.000765711
19.56474828,0.000145339,,26.35704438,0.00026631,,27.88230654,0.000202479,,39.40147101,0.000618182,,26.4606506,0.000205132,,,,,29.90548827,0.000206164,,50.87282903,0.000825872
20.09458442,0.000147103,,26.7414842,0.000280464,,28.46327045,0.000255547,,39.98573135,0.000694586,,27.01736981,0.000211257,,,,,30.47705529,0.00023603,,51.57639381,0.000827403
20.64521761,0.000220157,,27.12767002,0.000276671,,29.05502838,0.000233459,,40.57293217,0.000725888,,27.58938832,0.000236246,,,,,31.05821386,0.000242798,,52.28298862,0.000958836
21.21870028,0.000236072,,27.51565751,0.000342318,,29.6582168,0.000259313,,41.16316396,0.000787561,,28.17787092,0.000245286,,,,,31.64950242,0.000239917,,52.99272144,0.000908615
21.81733304,0.000271039,,27.90550556,0.000347856,,30.27353053,0.000267348,,41.75652296,0.000776464,,28.78409134,0.000267571,,,,,32.25150567,0.000247534,,53.70570913,0.001028142
22.44369843,0.00037425,,28.29727681,0.000373581,,30.90172792,0.000303995,,42.35311206,0.000845002,,29.40944309,0.000280105,,,,,32.86485816,0.00028165,,54.42207837,0.000977514
23.10070074,0.000415584,,28.69103824,0.000398009,,31.54363636,0.000300809,,42.95304168,0.000895103,,30.05545176,0.00032888,,,,,33.49024837,0.000265578,,55.14196652,0.001043203
23.7916128,0.000618027,,29.0868617,0.000461478,,32.20015832,0.00031357,,43.55643061,0.000892448,,30.72378884,0.000349095,,,,,34.12842299,0.000276285,,55.86552253,0.001337767
24.5201315,0.000695581,,29.48482443,0.000554657,,32.87227803,0.000268404,,44.16340687,0.001053494,,31.41628741,0.000398987,,,,,34.78019163,0.000322276,,56.59290779,0.00124373
25.29044397,0.001166738,,29.88500961,0.000726805,,33.56106883,0.00030828,,44.77410852,0.001077061,,32.13495997,0.00043014,,,,,35.44643203,0.000362408,,57.32429707,0.001238077
26.10730665,0.002713751,,30.28750686,0.000825747,,,,,45.38868452,0.001107315,,32.88201882,0.000466963,,,,,36.12809567,0.000359865,,58.05987932,0.001060781
26.9761406,0.007121778,,30.69241278,0.000962357,,,,,46.00729557,0.001244922,,33.65989929,0.000624557,,,,,36.82621402,0.000357617,,58.79985863,0.001652013
27.93886259,0.038672715,,31.09983143,0.00121821,,,,,46.63011492,0.001289778,,37.13776367,0.001098956,,,,,37.54190538,0.000381068,,59.54445511,0.001398695
,,,31.41988682,0.002901117,,,,,47.25732926,0.001467713,,38.11620389,0.001396744,,,,,38.27638244,0.000379292,,60.29390581,0.001812286
,,,,,,,,,47.88913956,0.001620075,,39.14658309,0.001736369,,,,,39.03096072,0.000480878,,60.94304316,0.002507822
,,,,,,,,,48.52576197,0.001969033,,40.23393074,0.002089216,,,,,39.80706791,0.000479423,,,
,,,,,,,,,48.99120676,0.002223698,,42.60275246,0.033463899,,,,,40.60625423,0.000526208,,,
,,,,,,,,,,,,,,,,,,41.43020411,0.000525493,,,
,,,,,,,,,,,,,,,,,,42.2807492,0.000525221,,,
,,,,,,,,,,,,,,,,,,43.15988298,0.000525392,,,
,,,,,,,,,,,,,,,,,,44.06977722,0.000657507,,,
,,,,,,,,,,,,,,,,,,45.01280059,0.000658828,,,
,,,,,,,,,,,,,,,,,,45.99153961,0.000660703,,,
,,,,,,,,,,,,,,,,,,47.00882257,0.000757863,,,
,,,,,,,,,,,,,,,,,,48.06774656,0.000888149,,,
,,,,,,,,,,,,,,,,,,49.17170845,0.000765311,,,
,,,,,,,,,,,,,,,,,,50.3244402,0.001077978,,,
