Group,Hv10,KQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,494.00,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,494.00,20.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,494.00,19.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,494.00,19.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,494.00,23.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,494.00,20.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,494.00,20.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,494.00,24.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,484.00,23.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,484.00,15.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti6246 weld,484.00,24.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
