Sample,473-1R,,,Sample,473-2R,,,Sample,473-4R,,,Sample,473-5R,,,Sample,473-7R,,,Sample,473-8R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.00,326.70,4.88,,-1.00,325.11,8.45,,-1.20,314.39,9.23,,-0.90,310.33,10.66,,-1.10,308.65,3.85,,-0.80,307.87,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.90,333.72,7.58,,-0.90,339.09,7.92,,-1.10,312.03,10.14,,-0.80,304.00,5.10,,-1.00,306.50,9.52,,-0.70,309.76,12.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.80,343.95,5.10,,-0.80,351.25,4.31,,-1.00,329.55,17.74,,-0.70,317.40,6.89,,-0.90,309.83,10.63,,-0.60,328.38,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.70,358.34,5.50,,-0.70,362.27,4.38,,-0.90,324.16,5.23,,-0.60,323.83,9.48,,-0.80,305.56,5.19,,-0.50,339.43,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.60,361.79,5.02,,-0.60,364.18,4.42,,-0.80,347.84,4.16,,-0.50,336.00,3.74,,-0.70,320.89,7.90,,-0.40,350.12,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.50,365.81,5.18,,-0.50,367.80,2.50,,-0.70,351.03,2.70,,-0.40,342.50,7.32,,-0.60,318.50,10.09,,-0.30,350.67,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.40,374.06,5.66,,-0.40,375.29,4.26,,-0.60,368.43,3.59,,-0.30,353.60,3.20,,-0.50,326.00,9.49,,-0.20,370.43,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.30,375.18,8.04,,-0.30,386.49,8.59,,-0.50,377.21,5.24,,-0.20,376.67,12.22,,-0.40,340.83,5.16,,-0.10,380.40,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.20,372.79,5.10,,-0.20,382.37,6.01,,-0.40,376.01,7.76,,-0.10,383.00,2.76,,-0.30,345.63,5.80,,0.00,423.94,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.10,378.77,3.07,,-0.10,445.21,8.58,,-0.30,385.36,7.66,,0.00,418.33,5.62,,-0.20,365.30,5.07,,0.10,400.57,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
