Ti64,,,,Ti575,,
Hardness (HV 10),Temperature (C),Hv_Std,,Hv_Avg,Temperature,Hv_Std
316.3333333,0,4.60675832,,358.3333333,0,1.699673171
313.3333333,400,3.681787006,,348,400,9.504384953
312.6666667,450,1.699673171,,346.6666667,450,1.885618083
315.3333333,500,2.867441756,,347,500,5.830951895
318,550,2.768874621,,345.3333333,550,1.247219129
311.5833333,600,4.386690729,,340.3333333,600,3.091206165
309.1666667,650,3.760171391,,332.3333333,650,3.399346342
309.8333333,700,2.339278141,,332.6666667,700,3.299831646
