CP001L 500°C 575CWZ //,,,CP001R 500°C 575CWZ //,,,CP009R 500°C 575CWZ //,,,CP005L 500°C 575CWZ ⊥,,,CP005R 500°C Interface ⊥,,,CP011L 600°C 575CWZ //,,,CP015L 600°C 575CWZ //,,,CP021L 500°C 575CWZ //,,,CP015R 600°C 64CWZ //,,,CP021R 600°C 64CWZ //,,,CP016L 600°C Ti575 //,,,CP022L 600°C Ti575 //,,,CP016R 600°C Ti64 //,,,CP022R 600°C Ti64 //,,
DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,,DK,da/dN,
9.757331139,4.26628E-06,,7.5027103,8.62662E-07,,8.615932943,2.43234E-06,,9.253011465,1.44411E-06,,,,,5.202078377,1.02227E-06,,12.18465349,2.99E-05,,18.94615779,0.000103484,,17.90275297,8.73E-05,,28.19804237,0.000265759,,16.63884151,5.31E-05,,34.28182239,0.000825542,,19.94689297,7.36E-05,,37.30522648,0.000409531,
9.594652655,4.50593E-06,,7.450926664,9.02101E-07,,8.362771805,2.14183E-06,,9.091809604,1.33233E-06,,,,,5.14722381,9.69262E-07,,12.52497389,3.34E-05,,19.3093785,0.000109102,,18.34472778,8.96E-05,,28.74406721,0.000303507,,17.01794434,5.90E-05,,34.90844088,0.000824052,,20.39314233,8.22E-05,,37.966958,0.000406818,
9.436507728,4.13512E-06,,7.332686195,7.55573E-07,,8.241350051,1.94938E-06,,8.947406149,7.77966E-07,,,,,5.086347188,6.42897E-07,,12.87115623,3.45E-05,,19.67257192,0.000109537,,18.79148603,9.71E-05,,29.29043936,0.000308964,,17.40173533,5.57E-05,,35.53360879,0.000921992,,20.84379891,9.36E-05,,38.62960318,0.000426182,
9.282734247,3.91339E-06,,7.28103693,7.9688E-07,,8.123213331,2.01627E-06,,8.804442062,5.9738E-07,,,,,5.011532792,5.6893E-07,,13.22345817,3.64E-05,,20.03594705,0.000110456,,19.24321346,8.76E-05,,29.83745657,0.000328141,,17.79036876,6.02E-05,,36.15770897,0.001165397,,21.29901007,9.50E-05,,39.29337565,0.000485955,
9.133176983,3.53523E-06,,7.204512335,6.64318E-07,,8.008251523,1.96144E-06,,8.678604028,4.39941E-07,,,,,4.938470749,4.98481E-07,,13.58217024,4.06E-05,,20.39968603,0.000119581,,19.70008974,0.000120314,,30.38537826,0.00033764,,18.18401245,6.76E-05,,36.78107527,0.001228095,,21.75892181,9.32E-05,,39.95846186,0.000447923,
9.048237132,3.47748E-06,,7.166891593,7.6804E-07,,7.896358688,1.90102E-06,,8.49492154,3.17708E-07,,,,,4.867103802,4.07777E-07,,13.94762043,4.26E-05,,20.76394788,0.000124251,,20.16229208,0.000104762,,30.934431,0.000365702,,18.58284985,6.82E-05,,37.40399928,0.001412097,,22.22368134,9.48E-05,,40.6250251,0.000494008,
8.766428452,3.11975E-06,,6.991339286,6.92087E-07,,7.78743289,1.94271E-06,,8.400710467,2.46349E-07,,,,,4.797376723,4.36467E-07,,14.32017904,4.59E-05,,21.12887179,0.000140103,,20.62999865,0.000115476,,31.48481319,0.000349412,,19.39693096,8.47E-05,,38.02673608,0.001492807,,22.69343935,9.79E-05,,41.29320891,0.000471266,
8.499419329,2.77245E-06,,6.982083781,5.29432E-07,,7.681376021,1.72802E-06,,8.274006604,8.39194E-08,,,,,4.778097701,3.66941E-07,,14.70026388,5.99E-05,,21.49457995,0.000143525,,21.10339163,0.000116403,,32.0366992,0.000380628,,19.81263965,9.33E-05,,38.64950928,0.00185235,,23.16835225,0.00010272,,41.96314025,0.000503645,
8.246208367,2.52304E-06,,6.878698583,6.04463E-07,,7.592553274,1.52891E-06,,8.092749594,1.4396E-09,,,,,4.717964467,1.94339E-07,,15.08834589,6.05E-05,,21.86117999,0.000137654,,21.5826601,0.000121023,,32.59024294,0.000394362,,20.23447667,9.04E-05,,39.27251541,0.002277375,,23.64858422,0.000121004,,42.63493216,0.000556874,
8.005872246,2.36168E-06,,6.747450771,4.61008E-07,,7.437611938,1.68279E-06,,,,,,,,4.63510697,9.06535E-08,,15.48495518,5.47E-05,,22.22876718,0.000144326,,22.06800288,0.000126325,,33.14558098,0.000418051,,20.66273759,9.66E-05,,,,,24.13430931,0.000127306,,43.30868626,0.000500412,
7.777558322,2.1493E-06,,6.721858172,4.35915E-07,,7.379491985,1.44153E-06,,,,,,,,4.564667416,2.9613E-09,,15.89068761,6.17E-05,,22.59742629,0.000156662,,22.55963116,0.000156781,,33.70283536,0.00039898,,21.53986529,0.0001076,,,,,24.6257134,0.000137302,,43.98449491,0.000557709,
7.560478081,2.0822E-06,,6.643718214,4.05596E-07,,7.284000793,1.05104E-06,,,,,,,,,,,16.30621212,6.07E-05,,22.96723334,0.000168332,,23.0577712,0.000150754,,34.26211603,0.000456336,,21.98948361,0.000119982,,,,,25.12299616,0.000146385,,44.66244326,0.000614978,
7.353901342,1.87844E-06,,6.480307854,3.94385E-07,,7.19093998,9.29744E-07,,,,,,,,,,,16.71835819,7.66E-05,,23.33825704,0.000181615,,23.56266692,0.000154137,,34.82352301,0.000440964,,22.44703502,0.000130579,,,,,25.62637309,0.000153687,,45.34261102,0.000566081,
7.157151092,1.80487E-06,,6.398127268,3.41887E-07,,7.100231238,8.01134E-07,,,,,,,,,,,16.92189775,#DIV/0!,,23.71056017,0.0001734,,24.07458257,0.000148261,,35.38714845,0.000473679,,22.91299389,0.000131537,,,,,26.13607747,0.000154623,,46.02507411,0.00063347,
6.969598864,1.57116E-06,,6.309995375,3.7308E-07,,7.011799096,6.30936E-07,,,,,,,,,,,17.15522033,8.91E-05,,24.08420078,0.000200759,,24.59380546,0.000169915,,35.95307831,0.000509802,,23.38788034,0.000141917,,,,,26.65236246,0.000167687,,46.70990623,0.00060832,
6.790660599,1.34897E-06,,6.090068764,3.43892E-07,,6.925570801,4.7508E-07,,,,,,,,,,,17.39373689,#DIV/0!,,24.4592333,0.000198313,,25.12064868,0.000159397,,36.52139404,0.000501354,,23.87226424,0.000150708,,,,,27.17550314,0.000189271,,47.39718022,0.000647897,
6.619792921,1.01233E-06,,5.993743234,3.1635E-07,,6.900295257,5.18935E-07,,,,,,,,,,,17.61949714,,,24.83570951,0.00020951,,25.65545399,0.000186374,,37.09217402,0.000554342,,24.36676949,0.00015282,,,,,27.70579874,0.000166712,,48.08696942,0.000639711,
6.456489779,7.02695E-07,,5.901485511,2.48757E-07,,6.654156106,3.41407E-07,,,,,,,,,,,18.08263948,0.000109595,,25.2136795,0.000235891,,26.1985948,0.000188434,,37.66549496,0.000566701,,24.87207874,0.000178707,,,,,28.24357484,0.000173315,,48.77934888,0.000650401,
6.300279417,6.05248E-07,,5.779996664,1.5877E-07,,6.601330016,3.59858E-07,,,,,,,,,,,18.56032839,0.000113813,,25.59319246,0.000242757,,26.75047935,0.000202328,,38.24143313,0.000575339,,25.38893857,0.000182512,,,,,28.78918578,0.000204935,,49.47439653,0.000756447,
6.150721631,4.10455E-07,,5.869987796,8.50122E-08,,6.525117246,2.43221E-07,,,,,,,,,,,19.05387592,0.00013763,,25.9742975,0.000259943,,27.31155395,0.000219179,,38.82006552,0.000624283,,25.91816517,0.000206757,,,,,29.34301711,0.000195522,,50.17219426,0.000765711,
5.902138852,1.21512E-07,,5.655187672,1.8045E-08,,6.450722985,2.48126E-07,,,,,,,,,,,19.56474828,0.000145339,,26.35704438,0.00026631,,27.88230654,0.000202479,,39.40147101,0.000618182,,26.4606506,0.000205132,,,,,29.90548827,0.000206164,,50.87282903,0.000825872,
5.674879974,2.69379E-08,,,,,6.40515222,2.38511E-07,,,,,,,,,,,20.09458442,0.000147103,,26.7414842,0.000280464,,28.46327045,0.000255547,,39.98573135,0.000694586,,27.01736981,0.000211257,,,,,30.47705529,0.00023603,,51.57639381,0.000827403,
5.489707197,6.36346E-09,,,,,6.238916762,2.0105E-07,,,,,,,,,,,20.64521761,0.000220157,,27.12767002,0.000276671,,29.05502838,0.000233459,,40.57293217,0.000725888,,27.58938832,0.000236246,,,,,31.05821386,0.000242798,,52.28298862,0.000958836,
,,,,,,5.802807033,5.11921E-08,,,,,,,,,,,21.21870028,0.000236072,,27.51565751,0.000342318,,29.6582168,0.000259313,,41.16316396,0.000787561,,28.17787092,0.000245286,,,,,31.64950242,0.000239917,,52.99272144,0.000908615,
,,,,,,5.729067561,1.5819E-08,,,,,,,,,,,21.81733304,0.000271039,,27.90550556,0.000347856,,30.27353053,0.000267348,,41.75652296,0.000776464,,28.78409134,0.000267571,,,,,32.25150567,0.000247534,,53.70570913,0.001028142,
,,,,,,,,,,,,,,,,,,22.44369843,0.00037425,,28.29727681,0.000373581,,30.90172792,0.000303995,,42.35311206,0.000845002,,29.40944309,0.000280105,,,,,32.86485816,0.00028165,,54.42207837,0.000977514,
,,,,,,,,,,,,,,,,,,23.10070074,0.000415584,,28.69103824,0.000398009,,31.54363636,0.000300809,,42.95304168,0.000895103,,30.05545176,0.00032888,,,,,33.49024837,0.000265578,,55.14196652,0.001043203,
,,,,,,,,,,,,,,,,,,23.7916128,0.000618027,,29.0868617,0.000461478,,32.20015832,0.00031357,,43.55643061,0.000892448,,30.72378884,0.000349095,,,,,34.12842299,0.000276285,,55.86552253,0.001337767,
,,,,,,,,,,,,,,,,,,24.5201315,0.000695581,,29.48482443,0.000554657,,32.87227803,0.000268404,,44.16340687,0.001053494,,31.41628741,0.000398987,,,,,34.78019163,0.000322276,,56.59290779,0.00124373,
,,,,,,,,,,,,,,,,,,25.29044397,0.001166738,,29.88500961,0.000726805,,33.56106883,0.00030828,,44.77410852,0.001077061,,32.13495997,0.00043014,,,,,35.44643203,0.000362408,,57.32429707,0.001238077,
,,,,,,,,,,,,,,,,,,26.10730665,0.002713751,,30.28750686,0.000825747,,,,,45.38868452,0.001107315,,32.88201882,0.000466963,,,,,36.12809567,0.000359865,,58.05987932,0.001060781,
,,,,,,,,,,,,,,,,,,26.9761406,0.007121778,,30.69241278,0.000962357,,,,,46.00729557,0.001244922,,33.65989929,0.000624557,,,,,36.82621402,0.000357617,,58.79985863,0.001652013,
,,,,,,,,,,,,,,,,,,27.93886259,0.038672715,,31.09983143,0.00121821,,,,,46.63011492,0.001289778,,37.13776367,0.001098956,,,,,37.54190538,0.000381068,,59.54445511,0.001398695,
,,,,,,,,,,,,,,,,,,,,,31.41988682,0.002901117,,,,,47.25732926,0.001467713,,38.11620389,0.001396744,,,,,38.27638244,0.000379292,,60.29390581,0.001812286,
,,,,,,,,,,,,,,,,,,,,,,,,,,,47.88913956,0.001620075,,39.14658309,0.001736369,,,,,39.03096072,0.000480878,,60.94304316,0.002507822,
,,,,,,,,,,,,,,,,,,,,,,,,,,,48.52576197,0.001969033,,40.23393074,0.002089216,,,,,39.80706791,0.000479423,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,48.99120676,0.002223698,,42.60275246,0.033463899,,,,,40.60625423,0.000526208,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.43020411,0.000525493,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2807492,0.000525221,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.15988298,0.000525392,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.06977722,0.000657507,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.01280059,0.000658828,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.99153961,0.000660703,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00882257,0.000757863,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.06774656,0.000888149,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.17170845,0.000765311,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3244402,0.001077978,,,,
